meta,id,tweet,sentiment,emotion,SentimentLabel,EmotionLabel,tweetP
meta,44557,@MamataOfficial Mamta Banerjee na Jane ho kyA Hai tumko ye desh Ram Ka Hai # JaiShriRam haar Ka ghum m dubi ho bus b … https//t.co/3LgIYpXog9,negative,surprise,0,6,mamta banerjee na jane ho kya hai tumko ye desh ram ka hai jaishriram haar ka ghum m dubi ho bus b https t . co 3lgiypxog9
meta,2359,@sakshijoshii Still far better than MMS govt ... so if u r so connected with numbers and economy .... can u share your … https//t.co/CLFqjOosU9,neutral,others,1,4,still far better than mms govt . . so if u r so connected with numbers and economy . . can u share your https t . co clfqjoosu9
meta,1445,@sunoo _ chanda make a gentle and nice relation with someone .... life me kisi k sahare ki zarort parti ha,neutral,others,1,4,chanda make a gentle and nice relation with someone . . life me kisi k sahare ki zarort parti ha
meta,5440,@sunoo _ chanda should i hope fr the best - D,neutral,others,1,4,chanda should i hope fr the best d
meta,7229,Woo hoo Cricket World Cup starts today ! Good luck to hosts @englandcricket in the tournament - hope for a good st … https//t co/ChIhIwhneV,neutral,others,1,4,woo hoo cricket world cup starts today ! good luck to hosts in the tournament hope for a good st https t co chihiwhnev
meta,27364,@munneb11 Family background ka keh ni sqtai cause kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ki ijazat k 😕😕,neutral,sadness,1,5,family background ka keh ni sqtai cause kaee ldkiyan fake naam sai ids banati h n pics upload krti bina ghr walu ki ijazat k confused face confused face
meta,40382,@drmanojrajoria @MaheshY01559101 Mp sahab dr manoj rajoriya g ko Jeet ki haardik subhkamnaye,positive,joy,2,3,mp sahab dr manoj rajoriya g ko jeet ki haardik subhkamnaye
meta,27897,Koi apna nahi ghum k maare murdered raped fucked shredded to bits hai hum ~,negative,fear,0,2,koi apna nahi ghum k maare murdered raped fucked shredded to bits hai hum
meta,35758,Back to 100% again !! KARATE CHOPPED THAT COLD QUICKLY.Feels good to FEEL GOOD * waaaaag *,positive,joy,2,3,back to 100 again ! ! karate chopped that cold quickly . feels good to feel good waag
meta,38461,RT @beingAshu52627 @ArvindKejriwal Sadji kisi ne bheja h apke liye https//t.co/8zKPpflz7H,neutral,others,1,4,rt sadji kisi ne bheja h apke liye https t . co 8zkppflz7h
meta,32467,@nitin _ gadkari Sir badhai ho Sir Agra ke meyar ko smjhao kuch kare .... Modiji Raj is ..... RAMRAJ .... BUT ... https//t.co/4KbUGTe0Nu,positive,joy,2,3,gadkari sir badhai ho sir agra ke meyar ko smjhao kuch kare . . modiji raj is . . ramraj . . but . . https t . co 4kbugte0nu
meta,33309,RT @DilliDurAst This painting has 40 famous Indian ads hidden in it.1) Which is tne favourite symbol of an ad you can spot ? 2) Anyone k …,neutral,others,1,4,rt this painting has 40 famous indian ads hidden in it . 1 which is tne favourite symbol of an ad you can spot ? 2 anyone k
meta,10989,I ’ m so fckn pist I lost my damn YSL shades,negative,sadness,0,5,i m so fckn pist i lost my damn ysl shades
meta,18753,I give Araki a lot of credit for how kuch detail and work goes to making his characters Then again hes been at it … https//t co/utECL4gfBV,positive,others,2,4,i give araki a lot of credit for how kuch detail and work goes to making his characters then again hes been at it https t co utecl4gfbv
meta,25483,modi ji ye sab to hota rahega lekin pehle Ram mandir banawao ... Dhara 370 hatao .. Hindurastra ghosit karwao ... Logo … https//t.co/6GRaQXH2Hz,positive,others,2,4,modi ji ye sab to hota rahega lekin pehle ram mandir banawao . . dhara 370 hatao . . hindurastra ghosit karwao . . logo https t . co 6graqxh2hz
meta,13396,@IndiaToday Pagol kuute ke samne roti dalna sahi nahi hai yeh sholay me thakur saab bolke geye the logbog 50 saal p … https//t co/I8q5MZX8Co,positive,others,2,4,pagol kuute ke samne roti dalna sahi nahi hai yeh sholay me thakur saab bolke geye the logbog 50 saal p https t co i8q5mzx8co
meta,7897,RT @SmallssBabeyy IM SO PROUD OF YOU !!!! 💚🎓 I LOVE YOU .. congratulations to you + all your homies ! https//t.co/oBSI471rcj,positive,joy,2,3,rt im so proud of you ! ! green heart graduation cap i love you . . congratulations to you all your homies ! https t . co obsi471rcj
meta,26915,Muslims muslims muslims jab musalmaano ko hi unki khudki izzat ki khud ke desh ki khud ke hone ki khud ki naslo ki … https//t co/DxIU1pzw6E,negative,sadness,0,5,muslims muslims muslims jab musalmaano ko hi unki khudki izzat ki khud ke desh ki khud ke hone ki khud ki naslo ki https t co dxiu1pzw6e
meta,8238,@AkhileshPSingh Hadd hai kamine pan ki Aapko pata hai Ye kev ' jail ' gaya hai Ye bina order ke railway platform pa … https//t.co/fAkYA6jftJ,negative,anger,0,0,hadd hai kamine pan ki aapko pata hai ye kev jail gaya hai ye bina order ke railway platform pa https t . co fakya6jftj
meta,28701,@SMuk25 @IndianExpress It's not vishwas that u guys want .. Its Modiji that u dont want .. Even if God comes and tel … https//t.co/f457Nj05Da,negative,others,0,4,it is not vishwas that u guys want . . its modiji that u dont want . . even if god comes and tel https t . co f457nj05da
meta,40128,@roflvoice Party and candidate's nahi dekhe hoge bas modi ko jitana hey kar ke vote diye,neutral,others,1,4,party and candidate s nahi dekhe hoge bas modi ko jitana hey kar ke vote diye
meta,14505,@Asimrafi9 @Chaudharyumard Nhi g Ham AP ki trha nhi he ptwari ki olad ham Pakistani he aur Pakistan sy pyar krty.H … https//t.co/ExmYdNgPoY,positive,joy,2,3,nhi g ham ap ki trha nhi he ptwari ki olad ham pakistani he aur pakistan sy pyar krty . h https t . co exmydngpoy
meta,22273,@MdKashifAli10 @cpimspeak @narendramodi @manakgupta Tum kabhi nahi sudhroge fact check fir bat kar chutiye,negative,anger,0,0,tum kabhi nahi sudhroge fact check fir bat kar chutiye
meta,35558,@abpanandatv Jai Shri Ram haZ turned out to be the Vande Mataram of the day ! @irajdeep @republic @amitmalviya … https//t.co/JXu5pjti3B,neutral,joy,1,3,jai shri ram haz turned out to be the vande mataram of the day ! https t . co jxu5pjti3b
meta,8199,@hardikpandya7 best wishes for world cup and Eid Mubarak to you from MUZAFFAR Hasan National general secretary LJP … https//t co/6Uyv3orrUX,neutral,joy,1,3,best wishes for world cup and eid mubarak to you from muzaffar hasan national general secretary ljp https t co 6uyv3orrux
meta,2144,@sksushilm Aarthik madad nahi wo Pakistan ki aawam ka hak tha.Aur yeh RSS ke propoganda publication apne pas hi rakho.,neutral,others,1,4,aarthik madad nahi wo pakistan ki aawam ka hak tha . aur yeh rss ke propoganda publication apne pas hi rakho .
meta,23844,Ye kaafi hai ki ham dushman nahin hain Wafa'dari ka daawa kyun karen ham – thinking about Something,neutral,others,1,4,ye kaafi hai ki ham dushman nahin hain wafa dari ka daawa kyun karen ham thinking about something
meta,8910,@WeirdlyProbable @Nishupedia Actually inke pass ab naaz karne ke liye kuch bacha hi nahi hai to haqikat pasand ban … https//t.co/1gMSiSJQca,negative,sadness,0,5,actually inke pass ab naaz karne ke liye kuch bacha hi nahi hai to haqikat pasand ban https t . co 1gmsisjqca
meta,33576,RT @AfghanNextDoor No one Me tryna find the perfect watermelon https//t co/LP9UEnxp6n,neutral,others,1,4,rt no one me tryna find the perfect watermelon https t co lp9uenxp6n
meta,28206,@sweetnsaltyy _ @shoaib100mph match zaror dekhna dukh phr jhalna ye khel hai talent ka na parchiyo ka baserra,neutral,others,1,4,match zaror dekhna dukh phr jhalna ye khel hai talent ka na parchiyo ka baserra
meta,32666,@jungkookmh He sort of like caused my love for Pomeranians 🥺 here is a picture of her with her chew toy in her litt … https//t co/ZskQI8Ilww,positive,joy,2,3,he sort of like caused my love for pomeranians pleading face here is a picture of her with her chew toy in her litt https t co zskqi8ilww
meta,26044,@Iaurentsai _ awwwie thank you Lau.good morning ?,positive,joy,2,3,awwie thank you lau . good morning ?
meta,19034,RT @kunalkamra88 You mean our problem was being democratic ? Vivek tum jo katori main attention ki bheek mang rahe ho uspe khoon laga hai .…,negative,others,0,4,rt you mean our problem was being democratic ? vivek tum jo katori main attention ki bheek mang rahe ho uspe khoon laga hai .
meta,13152,Greetings to dearest friend shri @Kuldeepsinh92 ji on their birthday maa aashapura bless you with lots of love happ … https//t.co/13JDszXmdO,positive,joy,2,3,greetings to dearest friend shri ji on their birthday maa aashapura bless you with lots of love happ https t . co 13jdszxmdo
meta,17992,RT @iam _ wonda In this month of Ramadan all my positive heart desires and prayers for my family and friends will be granted.Insha Allah …,positive,joy,2,3,rt wonda in this month of ramadan all my positive heart desires and prayers for my family and friends will be granted . insha allah
meta,23129,RT @Guy _ marwaadi Roshan Oye Roshan meh JCB ki khudai dekh k aaya Roshan https//t co/RQQ5V4glFP,neutral,others,1,4,rt marwaadi roshan oye roshan meh jcb ki khudai dekh k aaya roshan https t co rqq5v4glfp
meta,15581,@indiatvnews @ZeeNewsHindi @RajatSharmaLive @sudhirchaudhary @INCIndia @yadavakhilesh @ArvindKejriwal & all d other … https//tco/M6caf9GgUS,neutral,others,1,4,all d other https tco m6caf9ggus
meta,8604,RT @ghost _ spotter @anikjaat8 Ye sirf pauranik kathaon mein payi jaati thi Vaastavikta se iska koi sambandh nahi hai,neutral,others,1,4,rt spotter ye sirf pauranik kathaon mein payi jaati thi vaastavikta se iska koi sambandh nahi hai
meta,20097,RT @ANI BJP leader Vishwas Sarang in Bhopal Tabaadla udyog Congress ki sarkar mein phal raha hai vidhayak is vyapar ke kendrabindu par h …,neutral,sadness,1,5,rt bjp leader vishwas sarang in bhopal tabaadla udyog congress ki sarkar mein phal raha hai vidhayak is vyapar ke kendrabindu par h
meta,5225,@DivyanshMohit @GulBukhari Tum apny Indian ki fikkar Karo Pakistan ko hum khud dykh lyngy.Mukti bahini 2 nahi ban … https//t.co/jz4XMvvWLU,neutral,others,1,4,tum apny indian ki fikkar karo pakistan ko hum khud dykh lyngy . mukti bahini 2 nahi ban https t . co jz4xmvvwlu
meta,31039,@RoflGandhi _ Up ki sarkar jiski bunyaad pe tiki h wo aaj apne.Mukaam pe pahunch gayi .... laghusanka ki deri h fir … https//t.co/PwvrxfVW5r,positive,others,2,4,up ki sarkar jiski bunyaad pe tiki h wo aaj apne . mukaam pe pahunch gayi . . laghusanka ki deri h fir https t . co pwvrxfvw5r
meta,41953,ALVIDA JUMMA-2019 MUBARAK TO ALL ... DUWA KI GUZARISH ..... https//t.co/MvICCAMg6M,positive,joy,2,3,alvida jumma 2019 mubarak to all . . duwa ki guzarish . . https t . co mviccamg6m
meta,43996,@mlkhattar Sir ye Modi ke name pr vot pada h ap Kabhi ao Yamuna Nagar ki Rajiv garden bank calony me Dekho logo Ka … https//t.co/f9RHnZqJtc,neutral,others,1,4,sir ye modi ke name pr vot pada h ap kabhi ao yamuna nagar ki rajiv garden bank calony me dekho logo ka https t . co f9rhnzqjtc
meta,18866,@LambaAlka Jyda gyan na pelo Aur democracy ka majak udana band kro Thoda competition Dete aur ye baat bolte to thi … https//t.co/gAwewitgp3,positive,anger,2,0,jyda gyan na pelo aur democracy ka majak udana band kro thoda competition dete aur ye baat bolte to thi https t . co gawewitgp3
meta,28950,@AnkushMourya11 @NaushadAlee @GAUAHAR _ KHAN Bhai Ankush khush raho ! I'll pray for u .. Coz I know Nafrat se kabhi kis … https//t.co/aWE3bt4IjA,positive,joy,2,3,khan bhai ankush khush raho ! i will pray for u . . coz i know nafrat se kabhi kis https t . co awe3bt4ija
meta,36545,Now this i too much ab sare tweet arsal ke support me 😠Jab jiya ka man nhi and wo chai nhi bana sakti yasit ke liy … https//t.co/mn6WSUMi84,neutral,sadness,1,5,now this i too much ab sare tweet arsal ke support me angry face jab jiya ka man nhi and wo chai nhi bana sakti yasit ke liy https t . co mn6wsumi84
meta,2745,@sardanarohit jaaz saab ko salo saal ke pending case ko soultion me maza nahi aata * inko to public paise monthly case miljaye *,negative,sadness,0,5,jaaz saab ko salo saal ke pending case ko soultion me maza nahi aata inko to public paise monthly case miljaye
meta,38245,RT @satguruterirhmt # SecretOfPositivity @derasachasauda @Gurmeetramrahim papaji Dhan dhan satguru tera hi aasra Good morning ji mugje tu …,positive,joy,2,3,rt secretofpositivity papaji dhan dhan satguru tera hi aasra good morning ji mugje tu
meta,31302,_• She is not a bachi piece or maal _• She is ( Rehmat ),neutral,disgust,1,1,she is not a bachi piece or maal she is rehmat
meta,11709,RT @kch _ mat _ kaho Dil se to nahi ho or wese shakal ka to mjhe pata nahi but aesa kch matter nahi krta 😛https//t.co/wt1UGn42OS,neutral,others,1,4,rt mat kaho dil se to nahi ho or wese shakal ka to mjhe pata nahi but aesa kch matter nahi krta face with tongue https t . co wt1ugn42os
meta,20225,thx to every single memer for making our day u guys r amazing 😄# jcb jindabaad … # JCBKiKudhayi # JCBkiKhudaai https//t co/ZuEg6SABMG,positive,joy,2,3,thx to every single memer for making our day u guys r amazing grinning face with smiling eyes jcb jindabaad jcbkikudhayi jcbkikhudaai https t co zueg6sabmg
meta,34859,RT @ZeeTV Non-stop hoga entertainment par kaun dega performance sabse best ? Watch out for # SRGMPLilChamps Sat-Sun 9 PM.@BeingSalmanK …,neutral,others,1,4,rt non stop hoga entertainment par kaun dega performance sabse best ? watch out for srgmplilchamps sat sun 9 pm .
meta,42434,@Shayri _ Here @kanhaiyakumar To fir jo Atankwadi uski Jaat musalman q hoti or jo all ready musalman h woh yeh baat q … https//t.co/5KKhApkIRr,negative,sadness,0,5,here to fir jo atankwadi uski jaat musalman q hoti or jo all ready musalman h woh yeh baat q https t . co 5kkhapkirr
meta,23986,Tum hume yun bhula na paoge .... https//t.co/W39DcIAnG6,neutral,others,1,4,tum hume yun bhula na paoge . . https t . co w39dciang6
meta,37553,@Squirrel _ Soul Tony stark ka dil toh ye leke ghum rha hai 😂😂,positive,joy,2,3,soul tony stark ka dil toh ye leke ghum rha hai face with tears of joy face with tears of joy
meta,4443,@MixedRaita Gunde saale ..... Ac hall me baith k Mt bhonk be @_ YogendraYadav aukat h to Gurgaon k kisi ek bnde ka c … https//t.co/aitb2VeuZl,negative,anger,0,0,gunde saale . . ac hall me baith k mt bhonk be yogendrayadav aukat h to gurgaon k kisi ek bnde ka c https t . co aitb2veuzl
meta,37414,Bengal bjp mei tmc ke kuch galat neta apne app ko bachane ko jogdan kar rahe he isse party ka support barne ke baj … https//t.co/j2fXr0O0IM,neutral,others,1,4,bengal bjp mei tmc ke kuch galat neta apne app ko bachane ko jogdan kar rahe he isse party ka support barne ke baj https t . co j2fxr0o0im
meta,26700,RT @EmenaIo I ’ m actually not that arsed about Liverpool winning it good on them.The Premier League joke still stands they already had m …,positive,others,2,4,rt i m actually not that arsed about liverpool winning it good on them . the premier league joke still stands they already had m
meta,19318,happy birthday pretty girl 😻thank u for all the good agnes memories.cards soon ? HAHAHAHAHA enjoy your day !!!!… https//t.co/UO08KHMMws,positive,joy,2,3,happy birthday pretty girl smiling cat with heart eyes thank u for all the good agnes memories . cards soon ? hahahahaha enjoy your day ! ! https t . co uo08khmmws
meta,19685,@OryaMaqbool _ jan Sharam or haya ki qimat lagwai hai is liay to is kute ko ye seat miliy ... Har haqomat k talway chatny wala hai ye,negative,disgust,0,1,jan sharam or haya ki qimat lagwai hai is liay to is kute ko ye seat miliy . . har haqomat k talway chatny wala hai ye
meta,16219,@ppbajpai Sir life ka ek sapna hai kabhe kisi din aap se ek mulakaat kerna log netaaon k fan hote hain mai aap ka … https//t co/IKF7nhJ3wP,neutral,others,1,4,sir life ka ek sapna hai kabhe kisi din aap se ek mulakaat kerna log netaaon k fan hote hain mai aap ka https t co ikf7nhj3wp
meta,14905,RT @jaavedjaaferi @iamsrk @meezaanj @sharminsegal thank you dear Shahrukh for your love and encouragement 🤗🤗🤗❤️,positive,joy,2,3,rt thank you dear shahrukh for your love and encouragement smiling face with open hands smiling face with open hands red heart
meta,13262,@sbond9884 @ANI mere Bhai yah Shariyath tho pahele se hi india may sirf Muslims ke liyah hai aur rahegi inshallah .… https//t.co/wEBWJSBMYJ,positive,joy,2,3,mere bhai yah shariyath tho pahele se hi india may sirf muslims ke liyah hai aur rahegi inshallah . https t . co webwjsbmyj
meta,33719,@BeingSalmanKhan # BharatThisEid # Bharat # loveuSalman 💋 superb look very handsome https//t co/KmqDSbNxvF,positive,joy,2,3,bharatthiseid bharat loveusalman kiss mark superb look very handsome https t co kmqdsbnxvf
meta,30635,@SaLeEmK92213342 or bohat Pakhtono ko Pashtunistaan ka nasha charha howa hai aj kal hosh mein a jao wrna sach ki mar parhe gi is bar,negative,anger,0,0,or bohat pakhtono ko pashtunistaan ka nasha charha howa hai aj kal hosh mein a jao wrna sach ki mar parhe gi is bar
meta,26753,Dhup Aarti Shri Sai Baba Mandir Shirdi 31 May 2019 Baba Bless all with all the happiness of the world Om Sai Ram … https//t.co/QKcfkFXuI0,positive,joy,2,3,dhup aarti shri sai baba mandir shirdi 31 may 2019 baba bless all with all the happiness of the world om sai ram https t . co qkcfkfxui0
meta,9677,@AmitShah Amit Shah Ji please Jet Airways ke employee ke bare mein kuch kariye Parivar wale bahut pareshan hai bhukhe Mar rahe hain,positive,sadness,2,5,amit shah ji please jet airways ke employee ke bare mein kuch kariye parivar wale bahut pareshan hai bhukhe mar rahe hain
meta,20043,@Wabbasi007 abroad property rakh kr chhupane wal respectfull hota he ... Aqam ne Panama ... Harami waseem abbasi,negative,anger,0,0,abroad property rakh kr chhupane wal respectfull hota he . . aqam ne panama . . harami waseem abbasi
meta,27049,@anup081 @timesofindia @RahulGandhi Respected rahul sir dont disappoint you U r a great leader Aap ki soch aap … https//t co/ycvQeBNOUA,positive,others,2,4,respected rahul sir dont disappoint you u r a great leader aap ki soch aap https t co ycvqebnoua
meta,19215,@SearchUser _ same 😂 did you watch the BET ON ME perf ?? The choreo is kinda sexy but it fit Shihyun so much,positive,joy,2,3,same face with tears of joy did you watch the bet on me perf ? ? the choreo is kind of sexy but it fit shihyun so much
meta,4647,Jay Bajrang Bali https//t co/Df2w04GIKi,positive,joy,2,3,jay bajrang bali https t co df2w04giki
meta,41076,@Shahidholicwrld Good wala to sahi h thora bt bad ka last ajib h 😂,neutral,others,1,4,good wala to sahi h thora bt bad ka last ajib h face with tears of joy
meta,4034,@MirSahi13615940 @ShanNayakk Haramzade hamare tukdo pe palta hai hamein aakh dikhata hai ... kutte tu pagal ho gaya … https//t.co/nRQ55gHy1h,negative,anger,0,0,haramzade hamare tukdo pe palta hai hamein aakh dikhata hai . . kutte tu pagal ho gaya https t . co nrq55ghy1h
meta,25360,RT @GanguliShrabani Haaye ..... Entry ho toh aisi ..... # HeroWaliEntry Best part of today's episode !! # ShaheerSheikh # YehRishteyHainPyaar …,positive,joy,2,3,rt haaye . . entry ho toh aisi . . herowalientry best part of today s episode ! ! shaheersheikh yehrishteyhainpyaar
meta,33442,@prisitanshu @Navjot _ SSidhu @sherryontopp @TajinderBagga @MajorPoonia @KapilMishra _ IND @INCIndia @BJP4India Inse na ho payega,negative,others,0,4,ssidhu ind inse na ho payega
